Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
CoA(16:0)	Metabolite	cas:1763-10-6	Ca:1763-10-6:T	AKA 'Coenzyme A, S-​hexadecanoate'					wikidata:Q28797916	chebi:15525;chebi:15525	inchikey:MNBKLUUYKPBKDU-BBECNAHFSA-N
CoA	Metabolite	chebi:15346	Ce:CHEBI:15346:T						wikidata:Q407635	chebi:15346;chebi:15346	inchikey:RGJOEKWQDUBAIZ-DRCCLKDXSA-N;inchikey:RGJOEKWQDUBAIZ-IBOSZNHHSA-N
PA	Metabolite	lipidmaps:LMGP10010000	Lm:LMGP10010000:T	aka phosphatidic acid					wikidata:Q22083257	chebi:29089;chebi:29089	
Glycerol-3-P	Metabolite	pubchem.compound:439162	Cpc:439162:T						wikidata:Q27093499	chebi:15978;chebi:15978	inchikey:AWUCVROLDVIAJX-GSVOUGTGSA-N
1-acyl-LPA	Metabolite	lipidmaps:LMGP10050000	Lm:LMGP10050000:T	aka 1-acyl-sn-glycero-3-phosphate , 1-acylglycerophosphate, lysophosphatic acid					wikidata:Q22082936	chebi:16975;chebi:16975	
Choline	Metabolite	pubchem.compound:305	Cpc:305:T						wikidata:Q193166	chebi:15354;chebi:15354	inchikey:OEYIOHPDSNJKLS-UHFFFAOYSA-N
CDP-Etn	Metabolite	pubchem.compound:123727	Cpc:123727:T						wikidata:Q26997412	chebi:16732;chebi:16732	inchikey:WVIMUEUQJFPNDK-PEBGCTIMSA-N
PE	Metabolite	lipidmaps:LMGP02010000	Lm:LMGP02010000:T						wikidata:Q22083259	chebi:64674;chebi:64674;chebi:16038	
Acyl-CoA	Metabolite	lipidmaps:LMFA07050000	Lm:LMFA07050000:T						wikidata:Q2699537	chebi:17984;chebi:17984	
DAG	Metabolite	lipidmaps:LMGL02010000	Lm:LMGL02010000:T						wikidata:Q22082904	chebi:17815;chebi:17815	
CDP-DAG	Metabolite	lipidmaps:LMGP13010000	Lm:LMGP13010000:T						wikidata:Q22082940	chebi:17962;chebi:17962	
PGP	Metabolite	lipidmaps:LMGP05010000	Lm:LMGP05010000:T						wikidata:Q60560042	chebi:37393;chebi:37393	
PG	Metabolite	lipidmaps:LMGP04010000	Lm:LMGP04010000:T						wikidata:Q3078751	chebi:17517;chebi:64716;chebi:17517;chebi:64961	
CL	Metabolite	lipidmaps:LMGP12010000	Lm:LMGP12010000:T						wikidata:Q183453	chebi:28494;chebi:28494	
PI	Metabolite	lipidmaps:LMGP06010000	Lm:LMGP06010000:T						wikidata:Q33605680	chebi:16749;chebi:16749	
PC	Metabolite	lipidmaps:LMGP01010000	Lm:LMGP01010000:T						wikidata:Q22082951	chebi:57643;chebi:57643	
Choline-P	Metabolite	pubchem.compound:135437	Cpc:135437:T						wikidata:Q7187582		inchikey:YHHSONZFOIEMCP-UHFFFAOYSA-N
CDP-Choline	Metabolite	pubchem.compound:13804	Cpc:13804:T						wikidata:Q28529682	chebi:16436;chebi:16436	inchikey:RZZPDXZPRHQOCG-OJAKKHQRSA-N
PS	Metabolite	lipidmaps:LMGP03010000	Lm:LMGP03010000:T						wikidata:Q22083042	chebi:11750;chebi:11750	
1-acyl-LPC	Metabolite	lipidmaps:LMGP01050000	Lm:LMGP01050000:T						wikidata:Q59903045		
PE-Me	Metabolite	lipidmaps:LMGP0201AA00	Lm:LMGP0201AA00:T						wikidata:Q60312700	chebi:64596;chebi:64596	
PE-Me2	Metabolite	lipidmaps:LMGP0201AB00	Lm:LMGP0201AB00:T						wikidata:Q60559324	chebi:17152;chebi:17152	
Etn-P	Metabolite	pubchem.compound:1015	Cpc:1015:T						wikidata:Q418826	chebi:17553;chebi:17553	inchikey:SUHOOTKUPISOBE-UHFFFAOYSA-N
Etn	Metabolite	pubchem.compound:700	Cpc:700:T						wikidata:Q410387	chebi:16000;chebi:16000	inchikey:HZAXFHJVJLSVMW-UHFFFAOYSA-N
TAG	Metabolite	lipidmaps:LMGL03010000	Lm:LMGL03010000:T						wikidata:Q186319	chebi:64615;chebi:17855;chebi:17855	
2-acyl-PA	Metabolite	lipidmaps:LMGP1005AA00	Lm:LMGP1005AA00:T						wikidata:Q39904301	chebi:17936;chebi:17936	
1-acyl-PE	Metabolite	lipidmaps:LMGP02050000	Lm:LMGP02050000:T						wikidata:Q66817678	chebi:29017;chebi:29017	
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(20:0)	Metabolite	cas:15895-27-9	Ca:15895-27-9:T	AKA 'Coenzyme A, S-​eicosanoate'					wikidata:Q27098079	chebi:15527;chebi:15527	inchikey:JYLSVNBJLYCSSW-IBYUJNRCSA-N
CoA(16:0)	Metabolite	cas:1763-10-6	Ca:1763-10-6:T	AKA 'Coenzyme A, S-​hexadecanoate'					wikidata:Q28797916	chebi:15525;chebi:15525	inchikey:MNBKLUUYKPBKDU-BBECNAHFSA-N
CoA(16:0)	Metabolite	cas:1763-10-6	Ca:1763-10-6:T	AKA 'Coenzyme A, S-​hexadecanoate'					wikidata:Q28797916	chebi:15525;chebi:15525	inchikey:MNBKLUUYKPBKDU-BBECNAHFSA-N
CoA(16:0)	Metabolite	cas:1763-10-6	Ca:1763-10-6:T	AKA 'Coenzyme A, S-​hexadecanoate'					wikidata:Q28797916	chebi:15525;chebi:15525	inchikey:MNBKLUUYKPBKDU-BBECNAHFSA-N
CoA(16:0)	Metabolite	cas:1763-10-6	Ca:1763-10-6:T	AKA 'Coenzyme A, S-​hexadecanoate'					wikidata:Q28797916	chebi:15525;chebi:15525	inchikey:MNBKLUUYKPBKDU-BBECNAHFSA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
CoA(18:0)	Metabolite	cas:362-66-3	Ca:362-66-3:T	AKA 'Coenzyme A, S-​octadecanoate'					wikidata:Q15427851	chebi:15541;chebi:15541	inchikey:SIARJEKBADXQJG-LFZQUHGESA-N
LPC	Metabolite	lipidmaps:LMGP01050000	Lm:LMGP01050000:T	AKA '1-acyl-sn-glycero-3-phosphocholine'					wikidata:Q59903045		
LPE	Metabolite	lipidmaps:LMGP02050000	Lm:LMGP02050000:T	AKA '1-acyl-sn-glycero-3-phosphoethanolamine'					wikidata:Q66817678	chebi:29017;chebi:29017	
GPAM	GeneProduct	ensembl:ENSG00000119927	En:ENSG00000119927:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:14732							
CRLS1	GeneProduct	ensembl:ENSG00000088766	En:ENSG00000088766:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:66586							
CHPT1	GeneProduct	ensembl:ENSG00000111666	En:ENSG00000111666:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:212862							
PCYT2	GeneProduct	ensembl:ENSG00000185813	En:ENSG00000185813:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:68671							
CDS1	GeneProduct	ensembl:ENSG00000163624	En:ENSG00000163624:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:74596							
PISD	GeneProduct	ensembl:ENSG00000241878	En:ENSG00000241878:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:320951							
DGAT1	GeneProduct	ensembl:ENSG00000185000	En:ENSG00000185000:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:13350							
PTDSS2	GeneProduct	ensembl:ENSG00000174915	En:ENSG00000174915:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:27388							
PNPLA2	GeneProduct	ensembl:ENSG00000177666	En:ENSG00000177666:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:66853							
PLD1	GeneProduct	ensembl:ENSG00000075651	En:ENSG00000075651:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:18805							
DGKZ	GeneProduct	ensembl:ENSG00000149091	En:ENSG00000149091:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:104418							
PTDSS1	GeneProduct	ensembl:ENSG00000156471	En:ENSG00000156471:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:19210							
PEMT	GeneProduct	ensembl:ENSG00000133027	En:ENSG00000133027:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:18618							
AGPAT4	GeneProduct	ensembl:ENSG00000026652	En:ENSG00000026652:T	Homology Mapping from Mus musculus to Homo sapiens: Original ID = L:68262							
