Label	Type	ID	Database	Comment
IL10RB	GeneProduct	ENSBTAG00000019404	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3588
STAT2	GeneProduct	ENSBTAG00000004380	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6773
TYK2	GeneProduct	ENSBTAG00000011698	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:7297
IL28B	GeneProduct			
IFNL1	GeneProduct	ENSBTAG00000047691	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:282618
JAK1	GeneProduct	ENSBTAG00000003147	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:3716
STAT1	GeneProduct	ENSBTAG00000007867	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6772
IL28A	GeneProduct			
IFNLR1	GeneProduct	ENSBTAG00000001101	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:163702
IRF9	GeneProduct			HomologyConvert: Multiple homologues found: En:ENSBTAG00000005816;En:ENSBTAG00000005815;
STAT1	GeneProduct	ENSBTAG00000007867	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6772
STAT1	GeneProduct	ENSBTAG00000007867	Ensembl	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:6772
