Label	Type	Identifier	Database	Comment	Ensembl	NCBI.gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Glutathionyl-HETrEs	Metabolite										
5,6-DiH-PGF1a	Metabolite										
Phosphotidyl-EpETrEs	Metabolite										
11,12-DiHETrE	Metabolite	HMDB0002314	hmdb:HMDB0002314							Ce:63969;Ce:CHEBI:6396	Ik:LRPPQRCHCPFBPE-KROJNAHFSA-N
14(15)-EpETrE	Metabolite	HMDB0004264	hmdb:HMDB0004264							Ce:CHEBI:34157;Ce:3415	Ik:JBSCUHKPLGKXKH-ILYOTBPNSA-N
5(6)-Epoxy-PGE1	Metabolite										
5,6-DiHETrE	Metabolite	HMDB0002343	hmdb:HMDB0002343							Ce:CHEBI:63974;Ce:6397	Ik:GFNYAPAJUNPMGH-QNEBEIHSSA-N
8(9)-EpETrE	Metabolite	HMDB0002232	hmdb:HMDB0002232							Ce:34490;Ce:CHEBI:3449	Ik:DBWQSCSXHFNTMO-TYAUOURKSA-N
5(6)-EpETrE	Metabolite	HMDB0002190	hmdb:HMDB0002190							Ce:34450;Ce:CHEBI:3445	Ik:VBQNSZQZRAGRIX-QNEBEIHSSA-N
11(12)-EpETrE	Metabolite	HMDB0010409	hmdb:HMDB0010409								
8,9-DiHETrE	Metabolite	HMDB0002311	hmdb:HMDB0002311							Ce:63970;Ce:CHEBI:6397	Ik:DCJBINATHQHPKO-TYAUOURKSA-N
14,15-DiHETrE	Metabolite	HMDB0002265	hmdb:HMDB0002265							Ce:63966;Ce:CHEBI:6396	Ik:SYAWGTIVOGUZMM-ILYOTBPNSA-N
Arachidonic acid	Metabolite	HMDB0001043	hmdb:HMDB0001043							Ce:CHEBI:15843;Ce:1584	Ik:YZXBAPSDXZZRGB-DOFZRALJSA-N
CYP2C9	GeneProduct	ENSBTAG00000020375	ensembl:ENSBTAG00000020375	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1559							
EPHX2	GeneProduct	ENSBTAG00000015241	ensembl:ENSBTAG00000015241	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2053	En:ENSBTAG00000015241	L:511716		S:F6QS88;S:A0A3Q1MTI			
COX5A	GeneProduct	ENSBTAG00000017267	ensembl:ENSBTAG00000017267	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:9377	En:ENSBTAG00000017267	L:444878		S:P00426			
EPHX2	GeneProduct	ENSBTAG00000015241	ensembl:ENSBTAG00000015241	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2053	En:ENSBTAG00000015241	L:511716		S:F6QS88;S:A0A3Q1MTI			
EPHX2	GeneProduct	ENSBTAG00000015241	ensembl:ENSBTAG00000015241	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2053	En:ENSBTAG00000015241	L:511716		S:F6QS88;S:A0A3Q1MTI			
CYP2C8	GeneProduct	ENSBTAG00000020375	ensembl:ENSBTAG00000020375	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1558							
GSTP1	GeneProduct	ENSBTAG00000003548	ensembl:ENSBTAG00000003548	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2950	En:ENSBTAG00000003548	L:525938		S:A0A452DHY4			
Catalyst	GeneProduct										
COX8A	GeneProduct	ENSBTAG00000004920	ensembl:ENSBTAG00000004920	HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:1351	En:ENSBTAG00000004920	L:783202		S:E1BH77			
CYP2J2	GeneProduct	ENSBTAG00000013693	ensembl:ENSBTAG00000013693	HomologyConvert: Homo sapiens to Bos taurus: Original ID = En:ENSG00000134716							
EPHX2	GeneProduct	ENSBTAG00000015241	ensembl:ENSBTAG00000015241	5(6)-EpETrE is a poor sEH substrate</br>Type your comment here</br>HomologyConvert: Homo sapiens to Bos taurus: Original ID = L:2053	En:ENSBTAG00000015241	L:511716		S:F6QS88;S:A0A3Q1MTI			
