ID	Database	Citation
9843496	Pubmed	"Müller A, Guan C, Gälweiler L, Tänzler P, Huijser P, Marchant A, et al. AtPIN2 defines a locus of Arabidopsis for root gravitropism control. EMBO J. 1998 Dec 1;17(23):6903–11. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9843496"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/9843496"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/9843496"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12271078	Pubmed	"Liu Cm, Xu Zh, Chua NH. Auxin Polar Transport Is Essential for the Establishment of Bilateral Symmetry during Early Plant Embryogenesis. Plant Cell. 1993 Jun;5(6):621–30. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12271078"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12271078"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12271078"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
12324609	Pubmed	"Okada K, Ueda J, Komaki MK, Bell CJ, Shimura Y. Requirement of the Auxin Polar Transport System in Early Stages of Arabidopsis Floral Bud Formation. Plant Cell. 1991 Jul;3(7):677–84. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/12324609"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/12324609"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/12324609"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
16677815	Pubmed	"Yang Y, Hammes UZ, Taylor CG, Schachtman DP, Nielsen E. High-affinity auxin transport by the AUX1 influx carrier protein. Curr Biol. 2006 Jun 6;16(11):1123–7. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/16677815"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/16677815"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/16677815"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17084699	Pubmed	"Fischer U, Ikeda Y, Ljung K, Serralbo O, Singh M, Heidstra R, et al. Vectorial information for Arabidopsis planar polarity is mediated by combined AUX1, EIN2, and GNOM activity. Curr Biol. 2006 Nov 7;16(21):2143–9. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17084699"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17084699"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17084699"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
17114355	Pubmed	"Kleine-Vehn J, Dhonukshe P, Swarup R, Bennett M, Friml J. Subcellular trafficking of the Arabidopsis auxin influx carrier AUX1 uses a novel pathway distinct from PIN1. Plant Cell. 2006 Nov;18(11):3171–81. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17114355"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/17114355"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/17114355"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19506555	Pubmed	"Mravec J, Skůpa P, Bailly A, Hoyerová K, Krecek P, Bielach A, et al. Subcellular homeostasis of phytohormone auxin is mediated by the ER-localized PIN5 transporter. Nature. 2009 Jun 25;459(7250):1136–40. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19506555"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19506555"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19506555"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
19666738	Pubmed	"Belin C, Megies C, Hauserová E, Lopez-Molina L. Abscisic acid represses growth of the Arabidopsis embryonic axis after germination by enhancing auxin signaling. Plant Cell. 2009 Aug;21(8):2253–68. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/19666738"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/19666738"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/19666738"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
22760640	Pubmed	"Ding Z, Wang B, Moreno I, Dupláková N, Simon S, Carraro N, et al. ER-localized auxin transporter PIN8 regulates auxin homeostasis and male gametophyte development in Arabidopsis. Nat Commun. 2012 Jul 3;3:941. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22760640"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/22760640"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/22760640"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
23437008	Pubmed	"Sawchuk MG, Edgar A, Scarpella E. Patterning of leaf vein networks by convergent auxin transport pathways. PLoS Genet. 2013;9(2):e1003294. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/23437008"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/23437008"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/23437008"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
23551385	Pubmed	"Bender RL, Fekete ML, Klinkenberg PM, Hampton M, Bauer B, Malecha M, et al. PIN6 is required for nectary auxin response and short stamen development. Plant J. 2013 Jun;74(6):893–904. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/23551385"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/23551385"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/23551385"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
25059707	Pubmed	"de Jong M, George G, Ongaro V, Williamson L, Willetts B, Ljung K, et al. Auxin and strigolactone signaling are required for modulation of Arabidopsis shoot branching by nitrogen supply. Plant Physiol. 2014 Sep;166(1):384–95. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/25059707"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/25059707"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/25059707"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
26051227	Pubmed	"Bennett T. PIN proteins and the evolution of plant development. Trends Plant Sci. 2015 Aug;20(8):498–507. <a href=""http://www.ncbi.nlm.nih.gov/pubmed/26051227"" target=""_blank"" class=""external"" rel=""nofollow"">PubMed</a> <a href=""https://europepmc.org/abstract/MED/26051227"" target=""_blank"" class=""external"" rel=""nofollow"">Europe PMC</a> <a href=""https://scholia.toolforge.org/pubmed/26051227"" target=""_blank"" class=""external"" rel=""nofollow"">Scholia</a>"
