Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
Acetyl-CoA	Metabolite	cas:72-89-9	Ca:72-89-9:T						wikidata:Q715317	chebi:15351;chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N
Acetoacetyl-CoA	Metabolite	cas:1420-36-6	Ca:1420-36-6:T						wikidata:Q2639429	chebi:15345;chebi:15345	inchikey:OJFDKHTZOUZBOS-CITAKDKDSA-N
3-Hydroxy-3-methylglutaryl-CoA	Metabolite	cas:1553-55-5	Ca:1553-55-5:T						wikidata:Q27108899;wikidata:Q307532	chebi:15467;chebi:11814;chebi:11814;chebi:15467	inchikey:CABVTRNMFUVUDM-SJBCKIPMSA-N;inchikey:CABVTRNMFUVUDM-VRHQGPGLSA-N
Acetyl-CoA	Metabolite	cas:72-89-9	Ca:72-89-9:T						wikidata:Q715317	chebi:15351;chebi:15351	inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-N
3-Hydroxy-butyrate	Metabolite	pubchem.compound:441	Cpc:441:T						wikidata:Q223092	chebi:20067;chebi:20067	inchikey:WHBMMWSBFZVSSR-UHFFFAOYSA-N
Acetoacetate	Metabolite	pubchem.compound:6971017	Cpc:6971017:T						wikidata:Q21559339	chebi:13705;chebi:13705	inchikey:WDJHALXBUFZDSR-UHFFFAOYSA-M
Acat1	GeneProduct	ncbigene:110446	L:110446:T								
Hmgcs2	GeneProduct	ncbigene:15360	L:15360:T								
Hmgcl	GeneProduct	ncbigene:15356	L:15356:T								
Oxct1	GeneProduct	ncbigene:67041	L:67041:T								
Bdh1	GeneProduct	ncbigene:71911	L:71911:T								
