Label	Type	ID	Database	
ARG1	Protein	P05089	Uniprot-TrEMBL
GLS2	Protein	Q9UI32	Uniprot-TrEMBL
P5CS	Protein	P30038	Uniprot-TrEMBL
a-Ketoglutarate	Metabolite	CHEBI:16810	ChEBI
Citrulline	Metabolite	CHEBI:57743	ChEBI
1-Pyrroline-
5-carboxylate	Metabolite	CHEBI:17388	ChEBI
Citrin
(SLC25A13)	Protein	Q9UJS0	Uniprot-TrEMBL
Aspartate	Metabolite	CHEBI:29991	ChEBI
ASS1	Protein	P00966	Uniprot-TrEMBL
Acetyl-CoA	Metabolite	CHEBI:57288	ChEBI
L-Glutamatey-
semialdehyde	Metabolite	CHEBI:58066	ChEBI
ASL	Protein	P04424	Uniprot-TrEMBL
GDH	Protein	P00367	Uniprot-TrEMBL
Pyrimidine 
metabolism
and diseases	Pathway	WP4225	WikiPathways
Oxalacetate	Metabolite	CHEBI:16452	ChEBI
LDH	Protein	P07195	Uniprot-TrEMBL
ALT	Protein	P24298	Uniprot-TrEMBL
Argininosuccinate	Metabolite	CHEBI:57472	ChEBI
Ornithine	Metabolite	CHEBI:46911	ChEBI
NAGS	Protein	Q8N159	Uniprot-TrEMBL
Urea	Metabolite	CHEBI:16199	ChEBI
Proline	Metabolite	CHEBI:60039	ChEBI
Glutamate	Metabolite	CHEBI:29985	ChEBI
Carbamoyl-phosphate	Metabolite	CHEBI:58228	ChEBI
MDH
	Protein	P40925	Uniprot-TrEMBL
Fumarate	Metabolite	CHEBI:29806	ChEBI
NH4+	Metabolite	CHEBI:28938	ChEBI
Aspartate 
metabolism	Pathway	WP106	WikiPathways
MDH2	Protein	P40926	Uniprot-TrEMBL
N-acetylglutamate	Metabolite	CHEBI:44337	ChEBI
OTC	Protein	P00480	Uniprot-TrEMBL
Pyruvate	Metabolite	CHEBI:15361	ChEBI
Lactate	Metabolite	CHEBI:16651	ChEBI
OAT	Protein	P04181	Uniprot-TrEMBL
SLC25A12	Protein	O75746	Uniprot-TrEMBL
Glutamine	Metabolite	CHEBI:58359	ChEBI
AST2	Protein	P00505	Uniprot-TrEMBL
Alanine	Metabolite	CHEBI:57972	ChEBI
Malate	Metabolite	CHEBI:15589	ChEBI
FUM	Protein	P07954	Uniprot-TrEMBL
P5CR	Protein	P32322	Uniprot-TrEMBL
HCO3-	Metabolite	CHEBI:17544	ChEBI
CPS1	Protein	P31327	Uniprot-TrEMBL
Aspartate	Metabolite	CHEBI:29991	ChEBI
Arginine	Metabolite	CHEBI:32682	ChEBI
Ornithine	Metabolite	CHEBI:46911	ChEBI
ORNT1	Protein	Q9Y619	Uniprot-TrEMBL
Citrulline	Metabolite	CHEBI:57743	ChEBI
Oxalacetate	Metabolite	CHEBI:16452	ChEBI
Glutamate	Metabolite	CHEBI:29985	ChEBI
a-Ketoglutarate	Metabolite	CHEBI:16810	ChEBI
AST	Protein	P17174	Uniprot-TrEMBL
Pyrimidine metabolism
and diseases	Pathway	WP4225	WikiPathways
Orotate	Metabolite	CHEBI:30839	ChEBI
OMP	Metabolite	CHEBI:57538	ChEBI
Uridine	Metabolite	CHEBI:16704	ChEBI
UMP	Metabolite	CHEBI:57865	ChEBI
Uracil	Metabolite	CHEBI:17568	ChEBI
Orotidine	Metabolite	CHEBI:25722	ChEBI
Carbamoyl-phosphate	Metabolite	CHEBI:58228	ChEBI
NH4+	Metabolite	CHEBI:28938	ChEBI
Nitric oxide	Metabolite	CHEBI:16480	ChEBI
iNOS	Protein	P35228	Uniprot-TrEMBL
Urea Cycle	Pathway	WP4571	WikiPathways
Malate	Metabolite	CHEBI:15589	ChEBI
Oxalacetate	Metabolite	CHEBI:16452	ChEBI
Glutamate	Metabolite	CHEBI:29985	ChEBI
nNOS	Protein	P29475	Uniprot-TrEMBL
eNOS	Protein	P29474	Uniprot-TrEMBL
