Label	Type	ID	Database	
5,12 DiHETE	Metabolite		
Cyp4a10	GeneProduct	13117	Entrez Gene
Lta4h	GeneProduct	16993	Entrez Gene
12(R)-HpETE
	Metabolite	LMFA03060070	LIPID MAPS
5-HEDH	GeneProduct		
LTA4	Metabolite	LMFA03020023	LIPID MAPS
BLT1	Protein	O88855	Uniprot-TrEMBL
LXA4	Metabolite		
MBD	Protein	3.4.13.19	Enzyme Nomenclature
8/15-LOX	Protein	O35936	Uniprot-TrEMBL
Arachidonic acid	Metabolite	LMFA01030001	LIPID MAPS
GGT	Protein	2.3.2.2	Enzyme Nomenclature
Alox5	GeneProduct	11689	Entrez Gene
15-HpETE	Metabolite	LMFA03060014	LIPID MAPS
15-HETE	Metabolite	LMFA03060087	LIPID MAPS
8-HpETE	Metabolite	LMFA03060073	LIPID MAPS
8-HETE	Metabolite	LMFA03060086	LIPID MAPS
15-oxoETE	Metabolite	LMFA03060051	LIPID MAPS
Alox15	GeneProduct	11687	Entrez Gene
LXA4	Metabolite	LMFA03040001	LIPID MAPS
Hpgd	GeneProduct	15446	Entrez Gene
12-HpETE	Metabolite	LMFA03060013	LIPID MAPS
12-HETE	Metabolite	LMFA03060088	LIPID MAPS
12-oxoETE	Metabolite	LMFA03060019	LIPID MAPS
Alox12	GeneProduct	11684	Entrez Gene
HXB3	Metabolite	LMFA03090003	LIPID MAPS
HXA3	Metabolite	LMFA03090005	LIPID MAPS
TXA3	Metabolite	LMFA03030005	LIPID MAPS
TXB3	Metabolite	LMFA03030006	LIPID MAPS
HXEH	GeneProduct		
12-HEDH	GeneProduct		
LXB4	Metabolite	LMFA03040002	LIPID MAPS
LTB4	Metabolite	LMFA03020001	LIPID MAPS
12-epi-LTB4	Metabolite	LMFA03020015	LIPID MAPS
6-trans-12-epi-delta-LTB4	Metabolite	LMFA03020014	LIPID MAPS
6-trans-delta-LTB4	Metabolite	LMFA03020013	LIPID MAPS
LTC4	Metabolite	LMFA03020003	LIPID MAPS
LTD4	Metabolite	LMFA03020006	LIPID MAPS
LTE4	Metabolite	LMFA03020002	LIPID MAPS
EXC4	Metabolite	LMFA03020031	LIPID MAPS
EXD4	Metabolite	LMFA03020032	LIPID MAPS
EXE4	Metabolite	LMFA03020033	LIPID MAPS
20-hydroxy-LTB4	Metabolite	LMFA03020018	LIPID MAPS
20-carboxy-LTB4	Metabolite	LMFA03020016	LIPID MAPS
18-carboxy-
dinor-LTB4	Metabolite	LMFA03020057	LIPID MAPS
11-trans-LTC4	Metabolite	LMFA03020020	LIPID MAPS
11-trans-LTD4	Metabolite	LMFA03020021	LIPID MAPS
11-trans-LTE4	Metabolite	LMFA03020022	LIPID MAPS
5-HpETE	Metabolite	LMFA03060108	LIPID MAPS
5-HETE	Metabolite	LMFA03060084	LIPID MAPS
5-oxoETE	Metabolite	LMFA03060011	LIPID MAPS
15-oxo-LXA4	Metabolite	LMFA03040009	LIPID MAPS
13,14-dihydro-
15-oxo-LXA4	Metabolite	LMFA03040008	LIPID MAPS
12-oxo-LTB4	Metabolite	LMFA03020024	LIPID MAPS
Ltc4s	GeneProduct	17001	Entrez Gene
Cyp4a12a	GeneProduct	277753	Entrez Gene
Cyp4a12b	GeneProduct	13118	Entrez Gene
Cyp4f14	GeneProduct	64385	Entrez Gene
Cyp4f18	GeneProduct	72054	Entrez Gene
Acox1	GeneProduct	11430	Entrez Gene
Acox2	GeneProduct	93732	Entrez Gene
Acox3	GeneProduct	80911	Entrez Gene
Ehhadh	GeneProduct	74147	Entrez Gene
Acaa1a	GeneProduct	113868	Entrez Gene
Ggt1	GeneProduct	14598	Entrez Gene
Ggt5	GeneProduct	23887	Entrez Gene
Dpep1	GeneProduct	13479	Entrez Gene
Dpep2	GeneProduct	319446	Entrez Gene
Ptgr1	GeneProduct	67103	Entrez Gene
Ptgr2	GeneProduct	77219	Entrez Gene
Alox12	GeneProduct	11684	Entrez Gene
Alox5	GeneProduct	11689	Entrez Gene
Ptgr1	GeneProduct	67103	Entrez Gene
Ptgr2	GeneProduct	77219	Entrez Gene
Hpgd	GeneProduct	15446	Entrez Gene
Alox5	GeneProduct	11689	Entrez Gene
Lta4h	GeneProduct	16993	Entrez Gene
BLT2	Protein	Q9JJL9	Uniprot-TrEMBL
PPAR alpha	Protein	P23204	Uniprot-TrEMBL
Ltc4s	GeneProduct	17001	Entrez Gene
CYSLT1	Protein	Q99JA4	Uniprot-TrEMBL
CYSLT2	Protein	Q920A1	Uniprot-TrEMBL
15-epi-LXA4	Metabolite		
15-epi-LXB4	Metabolite		
LXB4	Metabolite	LMFA03040002	LIPID MAPS
ALX	Protein	O88536	Uniprot-TrEMBL
8/15-LOX	Protein	O35936	Uniprot-TrEMBL
12/15-LOX	Protein	P39654	Uniprot-TrEMBL
12/15-LOX	Protein	P39654	Uniprot-TrEMBL
