Label	Type	Identifier	Database	Comment	Ensembl	NCBI gene	HGNC	UniProt	Wikidata	ChEBI	InChI
VLDL	Metabolite	chebi:39027	Ce:CHEBI:39027:T						wikidata:Q419074	chebi:39027;chebi:39027	
Cholesterol	Metabolite	chebi:16113	Ce:CHEBI:16113:T						wikidata:Q43656	chebi:16113;chebi:16113	inchikey:HVYWMOMLDIMFJA-DPAQBDIFSA-N
HDL	Metabolite	chebi:47775	Ce:CHEBI:47775:T						wikidata:Q67322514	chebi:47775;chebi:47775	
LDL	Metabolite	chebi:47774	Ce:CHEBI:47774:T						wikidata:Q75298271	chebi:47774;chebi:47774	
Lipoprotein	Metabolite	chebi:6495	Ce:CHEBI:6495:T						wikidata:Q28350	chebi:6495;chebi:6495	
IDL	Metabolite	chebi:132933	Ce:CHEBI:132933:T						wikidata:Q2619230	chebi:132933;chebi:132933	
Cholesterol	Metabolite	chebi:16113	Ce:CHEBI:16113:T						wikidata:Q43656	chebi:16113;chebi:16113	inchikey:HVYWMOMLDIMFJA-DPAQBDIFSA-N
Triglyceride	Metabolite	chebi:17855	Ce:CHEBI:17855:T						wikidata:Q186319	chebi:17855;chebi:17855	
Phospholipid	Metabolite	chebi:16247	Ce:CHEBI:16247:T						wikidata:Q186915	chebi:16247;chebi:16247	
VLDLR	GeneProduct	ensembl:ENSG00000147852	En:ENSG00000147852:T								
APOA2	GeneProduct	ensembl:ENSG00000158874	En:ENSG00000158874:T								
APOA4	GeneProduct	ensembl:ENSG00000110244	En:ENSG00000110244:T								
APOE	GeneProduct	ensembl:ENSG00000130203	En:ENSG00000130203:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
LIPC	GeneProduct	ensembl:ENSG00000166035	En:ENSG00000166035:T								
APOA1	GeneProduct	ensembl:ENSG00000118137	En:ENSG00000118137:T								
SCARB1	GeneProduct	ensembl:ENSG00000073060	En:ENSG00000073060:T								
LCAT	GeneProduct	ensembl:ENSG00000213398	En:ENSG00000213398:T								
LPL	GeneProduct	ensembl:ENSG00000175445	En:ENSG00000175445:T								
LDLR	GeneProduct	ensembl:ENSG00000130164	En:ENSG00000130164:T								
PLTP	GeneProduct	ensembl:ENSG00000100979	En:ENSG00000100979:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
LRP1	GeneProduct	ensembl:ENSG00000123384	En:ENSG00000123384:T								
CETP	GeneProduct	ensembl:ENSG00000087237	En:ENSG00000087237:T								
